C;max_iter;penalty;solver;nom_filtre;roc_auc;cm_0_0;cm_0_1;cm_0_2;cm_0_3;cm_0_4;cm_0_5;cm_0_6;cm_0_7;cm_0_8;cm_1_0;cm_1_1;cm_1_2;cm_1_3;cm_1_4;cm_1_5;cm_1_6;cm_1_7;cm_1_8;cm_2_0;cm_2_1;cm_2_2;cm_2_3;cm_2_4;cm_2_5;cm_2_6;cm_2_7;cm_2_8;cm_3_0;cm_3_1;cm_3_2;cm_3_3;cm_3_4;cm_3_5;cm_3_6;cm_3_7;cm_3_8;cm_4_0;cm_4_1;cm_4_2;cm_4_3;cm_4_4;cm_4_5;cm_4_6;cm_4_7;cm_4_8;cm_5_0;cm_5_1;cm_5_2;cm_5_3;cm_5_4;cm_5_5;cm_5_6;cm_5_7;cm_5_8;cm_6_0;cm_6_1;cm_6_2;cm_6_3;cm_6_4;cm_6_5;cm_6_6;cm_6_7;cm_6_8;cm_7_0;cm_7_1;cm_7_2;cm_7_3;cm_7_4;cm_7_5;cm_7_6;cm_7_7;cm_7_8;cm_8_0;cm_8_1;cm_8_2;cm_8_3;cm_8_4;cm_8_5;cm_8_6;cm_8_7;cm_8_8;0_precision;0_recall;0_f1;1_precision;1_recall;1_f1;2_precision;2_recall;2_f1;3_precision;3_recall;3_f1;4_precision;4_recall;4_f1;5_precision;5_recall;5_f1;6_precision;6_recall;6_f1;7_precision;7_recall;7_f1;8_precision;8_recall;8_f1;macro avg_precision;macro avg_recall;macro avg_f1;weighted avg_precision;weighted avg_recall;weighted avg_f1
1;10000;l2;liblinear;Erosion;0.9999881511148683;817;0;0;0;0;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;305;2;0;0;0;0;0;0;0;0;277;0.9987775061124694;1.0;0.999388379204893;1.0;0.9230769230769231;0.96;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.993485342019544;0.9967320261437909;0.992831541218638;1.0;0.9964028776978417;0.9990676719256787;0.990729140566274;0.9947248092273918;0.9982171800546298;0.9982078853046595;0.9981963171797154
1;10000;l2;newton-cg;Erosion;0.9999926691094476;817;0;0;0;0;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;1;0;0;0;304;2;0;0;0;0;0;0;0;0;277;0.9987775061124694;1.0;0.999388379204893;1.0;0.9230769230769231;0.96;1.0;1.0;1.0;0.9767441860465116;1.0;0.9882352941176471;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.990228013029316;0.9950900163666121;0.992831541218638;1.0;0.9964028776978417;0.9964836925975133;0.9903672151229155;0.9932351741541106;0.9976337008514957;0.997610513739546;0.9976000121327305
1;10000;l1;liblinear;Gaussian Blur;0.999785623841274;789;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;1;0;56;0;0;0;1;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;331;1;0;0;0;0;0;0;0;0;276;0.9974715549936789;1.0;0.9987341772151899;1.0;0.9166666666666666;0.9565217391304348;1.0;0.9655172413793104;0.9824561403508771;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9767441860465116;1.0;0.9882352941176471;1.0;0.9969879518072289;0.9984917043740573;0.9963898916967509;1.0;0.9981916817359855;0.9967339591929935;0.9865746510948006;0.9914034152137992;0.9976295835198742;0.997610513739546;0.9975914069276949
1;10000;l2;lbfgs;Gaussian Blur;0.9993296782159611;787;0;2;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;1;0;57;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;42;0;0;1;0;0;0;0;0;0;329;2;0;0;0;0;0;0;0;1;275;0.9962025316455696;0.9974651457541192;0.9968334388853705;1.0;0.9166666666666666;0.9565217391304348;0.9661016949152542;0.9827586206896551;0.9743589743589743;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.996969696969697;0.9909638554216867;0.9939577039274925;0.9927797833935018;0.9963768115942029;0.9945750452079566;0.9946726341026692;0.9871367889029256;0.990694100167803;0.9952442385806364;0.995221027479092;0.9952146564183193
1;10000;l2;liblinear;Gaussian Blur;0.9999094765187027;789;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;1;0;56;0;0;0;1;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;331;1;0;0;0;0;0;0;0;1;275;0.9974715549936789;1.0;0.9987341772151899;1.0;0.9166666666666666;0.9565217391304348;1.0;0.9655172413793104;0.9824561403508771;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9767441860465116;1.0;0.9882352941176471;0.9969879518072289;0.9969879518072289;0.9969879518072289;0.9963768115942029;0.9963768115942029;0.9963768115942029;0.996397833826847;0.9861720746052676;0.9910346793572867;0.9970300553787134;0.9970131421744325;0.9969939457500848
1;10000;l2;newton-cg;Gaussian Blur;0.9998577983982497;788;0;1;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;1;0;56;0;0;0;1;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;331;1;0;0;0;0;0;0;0;0;276;0.9974683544303797;0.9987325728770595;0.9981000633312223;1.0;0.9166666666666666;0.9565217391304348;0.9824561403508771;0.9655172413793104;0.9739130434782609;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9767441860465116;1.0;0.9882352941176471;1.0;0.9969879518072289;0.9984917043740573;0.9963898916967509;1.0;0.9981916817359855;0.9947842858360576;0.9864338258589184;0.9903837251297342;0.9970202232426388;0.9970131421744325;0.9969965350799874
1;10000;l1;liblinear;HoughLinesP;0.99902242609179;778;0;0;0;0;0;0;0;0;2;16;1;0;0;0;0;0;0;1;1;48;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;358;0;0;0;0;1;0;0;0;0;281;0.9961587708066582;1.0;0.9980756895445798;0.9411764705882353;0.8421052631578947;0.8888888888888888;0.9795918367346939;0.96;0.9696969696969697;0.9791666666666666;1.0;0.9894736842105263;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9964539007092199;0.9982238010657194;0.9884548605329171;0.9776176848741238;0.9827065592674094;0.9963526295094531;0.996415770609319;0.9963446827346762
1;10000;l2;lbfgs;HoughLinesP;0.9993845639757701;777;1;0;0;0;0;0;0;0;3;16;0;0;0;0;0;0;0;1;0;48;0;0;1;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;353;5;0;0;0;0;0;0;0;7;275;0.9948783610755442;0.9987146529562982;0.9967928159076331;0.9411764705882353;0.8421052631578947;0.8888888888888888;1.0;0.96;0.9795918367346939;1.0;1.0;1.0;1.0;1.0;1.0;0.9722222222222222;1.0;0.9859154929577465;1.0;1.0;1.0;0.9805555555555555;0.9860335195530726;0.9832869080779945;0.9821428571428571;0.975177304964539;0.9786476868327402;0.9856639407316017;0.9735589711813115;0.9792359588221884;0.9892047014569308;0.989247311827957;0.9891730552772031
1;10000;l2;liblinear;HoughLinesP;0.999891906461822;778;0;0;0;0;0;0;0;0;2;16;1;0;0;0;0;0;0;1;0;49;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;355;3;0;0;0;1;0;0;0;3;278;0.9961587708066582;1.0;0.9980756895445798;1.0;0.8421052631578947;0.9142857142857143;0.98;0.98;0.98;0.9791666666666666;1.0;0.9894736842105263;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9916201117318436;0.9916201117318436;0.9916201117318436;0.9893238434163701;0.9858156028368794;0.9875666074600356;0.9929188214023932;0.9777267753029576;0.984557978581411;0.9934418643156093;0.9934289127837514;0.9933532625440481
1;10000;l2;newton-cg;HoughLinesP;0.9999101727045588;778;0;0;0;0;0;0;0;0;3;16;0;0;0;0;0;0;0;1;1;48;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;355;3;0;0;0;1;0;0;0;3;278;0.9948849104859335;1.0;0.9974358974358974;0.9411764705882353;0.8421052631578947;0.8888888888888888;1.0;0.96;0.9795918367346939;0.9791666666666666;1.0;0.9894736842105263;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9916201117318436;0.9916201117318436;0.9916201117318436;0.9893238434163701;0.9858156028368794;0.9875666074600356;0.988463555876561;0.9755045530807352;0.9816196696068763;0.9927795522556646;0.992831541218638;0.9927554691710733
